type;picture;name;text
1;.\authors\vrubel\images\photo.png;Михаил Александрович Врубель (1856–1910);Как и положено дворянскому ребенку, Михаил Врубель с детства обучался разным искусствам. Живопись не была единственным предметом - музыке уделялось не меньше времени и сил. Он очень любил литературу, и в его творчестве много места будут занимать картины-иллюстрации, навеянные фольклором и мифологией, Шекспиром и поэтами-романтиками Гете, Пушкиным, Лермонтовым. Будучи юношей Врубель обожал оперу - позже он сделает немало эскизов к постановкам.                                                                                                                                                                                                       
2;.\authors\vrubel\images\1.png;Царевна-лебедь (1900);Подобно пану - царевна-лебедь еще одно сказочное существо, которое существует как будто между мирами. Она то прекрасная девушка, то птица - и художник пытается уловить момент этой метаморфозы. Этого персонажа в опере Николая Римского-Корсакова «Сказка о царе Салтане» по сказке Пушкина играла жена Врубеля - певица Надежда Забела-Врубель. Впрочем, в этом невероятном образе многие угадывают и замужнюю женщину, в которую Врубель был безответно влюблен до женитьбы.
2;.\authors\vrubel\images\2.png;Демон сидящий (1890);Идею и образ Демона Врубель вынашивал несколько лет, и это одна из первых работ в типично врубелевском «кристаллическом» стиле. Крупные мазки специальным шпателем привносят ощущение, словно это не живопись, а мозаичное панно - на технику и повлияли мозаики киевских соборов, где он работал. Работа навеяна романтической поэмой «Демон» Михаила Лермонтова. Падший ангел скитается по свету, нигде не находит себе покоя. У Врубеля было свое понимание образа - не злобного, но страдающего и при этом величавого. К поэме Лермонтова Врубель написал также целую серию акварельных иллюстраций. 
2;.\authors\vrubel\images\3.png;Гадалка (1895); Картина была создана под впечатлением от оперы «Кармен», но оперный образ претерпел существенную трансформацию. Тему гадания, всматривания в лик судьбы, популярную в символизме, художник воплотил в выразительной живописной форме. В результате перед зрителем предстает странная женская фигура-перевертыш. Отчетливо можно различить только верхнюю ее часть, закутанную в шаль. Нижняя часть растворяется в бликующих бронзовых порошках и лаках, смешанных с масляной краской. Выразительная кладка мастихинных мазков создает мерцание, погружая в таинственные метаморфозы форм.                                                                       
