type;picture;name;text
1;.\authors\shishkin\images\photo.png;Шишкин Иван Иванович (1832–1898);Ивана Ивановича Шишкина часто называют «богатырем русского леса». В истории мировой живописи трудно найти другого художника, который с такой же протестантской точностью и одновременно с чисто поэтическим восторгом воспевал бы суровую и величественную природу севера. Картины Шишкина знакомы каждому из нас с раннего детства, но за привычными образами скрывается глубокая философия и невероятный труд.
2;.\authors\shishkin\images\1.png;Рожь (1878);Oдин из самых прославленных пейзажей Шишкина, шедевр, который неизменно привлекает внимание посетителей Третьяковской галереи. Эта картина писалась на материале рисунков и этюдов, которые Шишкин выполнил летом 1877 года, посетив с дочерью Лидией родную Елабугу. Возможно, в картине изображено одно из любимых мест художника в окрестностях Елабуги — Лекарское поле, где росли гигантские сосны среди поля ржи.
2;.\authors\shishkin\images\2.png;Утро в сосновом лесу (1889);Cамое знаменитое произведение Шишкина. Современники отмечали идиллическое содержание этого пейзажа. «Утренний туман тихо вздымается, прогоняемый дневным теплом. Лесные обитатели проснулись, в том числе и семья медведей, копошащихся возле старых смолистых сосен. Медвежата эквилибрируют на стволах и наслаждаются жизнью в свое удовольствие», — писал критик Петр Гнедич.Кроме милой сердцу «идиллии» из жизни лесных обитателей, в пейзаже завораживает переданная с виртуозным мастерством жизнь леса. Устремились к утреннему розовеющему небу стволы сосен, которые, подобно гигантскому куполу, «смыкаются» в вышине, словно венчают глухую чащу леса. Распростерлись по земле причудливо изогнутые корни расколовшейся, поваленной ветром сосны. Сырой утренний туман, скопившийся в овраге, почти «физически» ощутим. Первые лучи солнца, пробиваясь сквозь густую чащу леса, наполняют все вокруг розово-золотистым сиянием.
2;.\authors\shishkin\images\3.png;Полдень. В окрестностях Москвы (1869);Летом 1866 года Шишкин работал вместе с художником Львом Каменевым в Братцеве под Москвой. Работал увлеченно, одержимо. В то лето в окрестностях Братцева было написано несколько этюдов, с которых начался новый этап в творческой жизни Шишкина, только что вернувшегося из заграничной пенсионерской поездки.В 1869 году на основе этих этюдов появилась картина «Полдень. В окрестностях Москвы». Шишкин впервые «уводит» зрителя на бескрайний простор русских полей. Подкупает простота мотива, отсутствие всякой красивости и эффектности. Бездонный простор неба занимает большую часть холста. Так много неба еще никогда не было в его пейзажах. Только что отгремела гроза, и тяжелые грозовые тучи словно уплывают вдаль. Земля, напоенная влагой, являет перед нами все свое великолепие. Зритель, «входя» в картину, словно ступает на влажную от дождя дорогу, которая вьется среди поля спелой ржи, «встречается» с бодрыми крестьянами, которые возвращаются с полевых работ… Двигаясь дальше, взгляд скользит по бескрайним далям, которые так характерны для просторов русской равнины; между холмами блестит лента реки, слева широко раскинулось село. Этот пейзаж пленяет радостным ощущением благодати русской земли, мгновенным узнаванием «нашего», родного, близкого.
